GA,606,0.117,0.118,1582.585,0.087
RHC,591,0.117,0.118,28.985,0.469
SA,591,0.425,0.426,25.394,0.211
GA,591,0.117,0.118,1592.043,0.077
RHC,601,0.117,0.118,28.641,0.468
SA,601,0.117,0.118,24.704,0.216
GA,601,0.117,0.118,1607.469,0.068
RHC,596,0.117,0.118,28.276,0.568
SA,596,0.677,0.680,24.989,0.203
GA,596,0.117,0.118,1634.469,0.050
RHC,616,0.117,0.118,26.862,0.430
SA,616,0.117,0.118,27.250,0.173
GA,616,0.117,0.118,1667.417,0.050
RHC,611,0.117,0.118,29.764,0.341
SA,611,0.883,0.882,28.641,0.167
GA,611,0.117,0.118,1682.657,0.179
RHC,626,0.117,0.118,16.251,0.218
SA,626,0.153,0.153,16.020,0.131
GA,626,0.117,0.118,1646.082,0.096
RHC,621,0.117,0.118,15.795,0.228
SA,621,0.883,0.882,17.535,0.119
GA,621,0.117,0.118,1664.222,0.090
RHC,641,0.117,0.118,18.817,0.210
SA,641,0.117,0.118,15.859,0.146
GA,641,0.117,0.118,1663.553,0.075
RHC,646,0.117,0.118,19.269,0.199
SA,646,0.847,0.847,16.630,0.135
GA,646,0.117,0.118,1666.463,0.075
RHC,651,0.117,0.118,18.273,0.215
SA,651,0.117,0.118,16.238,0.147
GA,651,0.117,0.118,1673.073,0.052
RHC,631,0.117,0.118,16.633,0.198
SA,631,0.883,0.882,18.119,0.142
GA,631,0.117,0.118,1684.328,0.117
RHC,636,0.117,0.118,17.154,0.205
SA,636,0.117,0.118,18.451,0.154
GA,636,0.117,0.118,1703.174,0.142
RHC,671,0.117,0.118,20.930,0.293
SA,671,0.117,0.118,17.267,0.135
GA,671,0.117,0.118,1657.050,0.092
RHC,656,0.117,0.118,20.686,0.353
SA,656,0.883,0.882,19.152,0.144
GA,656,0.117,0.118,1672.675,0.141
RHC,676,0.117,0.118,20.100,0.287
SA,676,0.117,0.118,18.364,0.206
GA,676,0.117,0.118,1706.383,0.088
RHC,666,0.117,0.118,19.844,0.273
SA,666,0.117,0.118,19.303,0.175
GA,666,0.117,0.118,1718.005,0.059
RHC,681,0.117,0.118,21.868,0.239
SA,681,0.883,0.882,18.577,0.166
GA,681,0.117,0.118,1719.149,0.060
RHC,661,0.117,0.118,19.037,0.244
SA,661,0.117,0.118,17.932,0.131
GA,661,0.117,0.118,1723.490,0.048
RHC,686,0.117,0.118,20.776,0.358
SA,686,0.135,0.136,19.907,0.154
GA,686,0.117,0.118,1749.173,0.053
RHC,711,0.883,0.882,17.670,0.281
SA,711,0.883,0.882,18.021,0.131
GA,711,0.117,0.118,2027.889,0.128
RHC,716,0.117,0.118,17.734,0.297
SA,716,0.222,0.220,18.004,0.124
GA,716,0.117,0.118,2052.162,0.144
RHC,696,0.117,0.118,16.580,0.241
SA,696,0.117,0.118,17.149,0.110
GA,696,0.117,0.118,2096.676,0.087
RHC,691,0.117,0.118,18.419,0.193
SA,691,0.170,0.170,18.190,0.123
GA,691,0.117,0.118,2094.867,0.075
RHC,706,0.117,0.118,17.915,0.221
SA,706,0.883,0.882,16.108,0.113
GA,706,0.117,0.118,2109.013,0.068
RHC,721,0.117,0.118,17.256,0.185
SA,721,0.117,0.118,18.328,0.112
GA,721,0.117,0.118,2122.915,0.060
RHC,701,0.117,0.119,19.424,0.206
SA,701,0.883,0.882,17.169,0.131
GA,701,0.117,0.118,2139.045,0.122
RHC,751,0.117,0.118,22.770,0.264
SA,751,0.883,0.882,23.905,0.213
GA,751,0.117,0.118,2169.623,0.101
RHC,756,0.117,0.118,23.333,0.209
SA,756,0.117,0.118,25.162,0.192
GA,756,0.117,0.118,2183.275,0.093
RHC,726,0.117,0.118,24.143,0.266
